organization_name,focus_area,location,contact_info,verified
SHRI RAGHAVENDRA SWAMI SEVA SAMITI,Aged Differently Abled,MALAMARUTI BADAVANE BELAGAVI Karnataka,rbc21403@gmail.com,true
INAMDAR REGIONAL EDUCATIONAL & CHARITABLE TRUST,Education Literacy,KALABURAGI Karnataka,inamdardegreemswcollege@gmail.com,true
1008 sri Marudhar Kesari Jain guru seva samiti trust karnataka,Animal Welfare Religious,BENGALURU URBAN Karnataka,Mtcmanoj@rediffmail.com,true
16 DODDI TRUST,Women's Empowerment,BANGALORE Karnataka,16dodditrust@gmail.com,true
1M1B Foundation,Education & Literacy,BANGALORE Karnataka ,saffin@onemoneb.org,true
24HALVES EDUCATIONAL TRUST,Education & Literacy,Mysore Road Bengaluru Karnataka,venkatindi03@gmail.com,true
A Brothers Charitable Tru,Education & Literacy,Mangaluru DAKSHINA KANNADA Karnataka,trustaroor@gmail.com,true
BRAVE VISION SPORTS FOUNDATION,Education & Literacy,DINDIGUL Tamil Nadu ,sbravevisionsportsacademy21@gmail.com,true
(PAZHANI) KIRANUR SANMARGA GURUKULAM,Education & Literacy, DINDIGUL Tamil Nadu,keeranurgurukulam@gmail.com,true
18 CHITHARHAL SPIRITUAL FOUNDATION,Health & Family Welfare,SIVAGANGA Tamil Nadu,gnanaprakasamsithar@gmail.com,true
18AM PADI KARUPPUSAMY SAKTHI PEEDAM,Differently Abled Women's Development,TIRUCHIRAPPALLI Tamil Nadu,devikarupusamy72@gmail.com,true
360 YOUTH MOVEMENT,Elderly;Children,KANCHEEPURAM Tamil Nadu,sunil.dawson@gmail.com,true
4 M TRUST,Women's Development & Empowerment,CHENNAI Tamil Nadu,4mshelter.zone12@gmail.com,true
24 teerthankar teerth dham Trust,ducation & Literacy,SRI POTTI SRIRAMULU NELLORE Andhra Pradesh,spareshshah583@gmail.com,true
